"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","HUR","TOT","PC_LF","A","2013",7.603673,
"GBR","HUR","TOT","PC_LF","A","2014",6.178483,
"GBR","HUR","TOT","PC_LF","A","2015",5.383935,
"GBR","HUR","TOT","PC_LF","A","2016",4.892704,
"GBR","HUR","TOT","PC_LF","A","2017",4.401906,
"GBR","HUR","TOT","PC_LF","A","2018",4.080814,
"GBR","HUR","TOT","PC_LF","A","2019",3.833521,
"GBR","HUR","TOT","PC_LF","A","2020",4.483186,
"USA","HUR","TOT","PC_LF","A","2010",9.616667,
"USA","HUR","TOT","PC_LF","A","2011",8.95,
"USA","HUR","TOT","PC_LF","A","2012",8.066667,
"USA","HUR","TOT","PC_LF","A","2013",7.375,
"USA","HUR","TOT","PC_LF","A","2014",6.166667,
"USA","HUR","TOT","PC_LF","A","2015",5.291667,
"USA","HUR","TOT","PC_LF","A","2016",4.866667,
"USA","HUR","TOT","PC_LF","A","2017",4.35,
"USA","HUR","TOT","PC_LF","A","2018",3.9,
"USA","HUR","TOT","PC_LF","A","2019",3.666667,
"USA","HUR","TOT","PC_LF","A","2020",8.091666,
"CHL","HUR","TOT","PC_LF","A","2010",8.15,
"CHL","HUR","TOT","PC_LF","A","2011",7.125,
"CHL","HUR","TOT","PC_LF","A","2012",6.545561,
"CHL","HUR","TOT","PC_LF","A","2013",6.08222,
"CHL","HUR","TOT","PC_LF","A","2014",6.495096,
"CHL","HUR","TOT","PC_LF","A","2015",6.328377,
"CHL","HUR","TOT","PC_LF","A","2016",6.684913,
"CHL","HUR","TOT","PC_LF","A","2017",6.965175,
"CHL","HUR","TOT","PC_LF","A","2018",7.376639,
"CHL","HUR","TOT","PC_LF","A","2019",7.22264,
"CHL","HUR","TOT","PC_LF","A","2020",10.7778,
"EST","HUR","TOT","PC_LF","A","2010",16.58333,
"EST","HUR","TOT","PC_LF","A","2011",12.35,
"EST","HUR","TOT","PC_LF","A","2012",9.908334,
"EST","HUR","TOT","PC_LF","A","2013",8.491667,
"EST","HUR","TOT","PC_LF","A","2014",7.316667,
"EST","HUR","TOT","PC_LF","A","2015",6.158333,
"EST","HUR","TOT","PC_LF","A","2016",6.691667,
"EST","HUR","TOT","PC_LF","A","2017",5.766667,
"EST","HUR","TOT","PC_LF","A","2018",5.533333,
"EST","HUR","TOT","PC_LF","A","2019",4.533333,
"EST","HUR","TOT","PC_LF","A","2020",6.783333,
"ISR","HUR","TOT","PC_LF","A","2010",6.636595,
"ISR","HUR","TOT","PC_LF","A","2011",5.602376,"B"
"ISR","HUR","TOT","PC_LF","A","2012",6.85,
"ISR","HUR","TOT","PC_LF","A","2013",6.208333,
"ISR","HUR","TOT","PC_LF","A","2014",5.908333,
"ISR","HUR","TOT","PC_LF","A","2015",5.241667,
"ISR","HUR","TOT","PC_LF","A","2016",4.808333,
"ISR","HUR","TOT","PC_LF","A","2017",4.216667,
"ISR","HUR","TOT","PC_LF","A","2018",4,
"ISR","HUR","TOT","PC_LF","A","2019",3.8,
"ISR","HUR","TOT","PC_LF","A","2020",4.325,
"SVN","HUR","TOT","PC_LF","A","2010",7.3,
"SVN","HUR","TOT","PC_LF","A","2011",8.241667,
"SVN","HUR","TOT","PC_LF","A","2012",8.916667,
"SVN","HUR","TOT","PC_LF","A","2013",10.175,
"SVN","HUR","TOT","PC_LF","A","2014",9.791667,
"SVN","HUR","TOT","PC_LF","A","2015",9.025,
"SVN","HUR","TOT","PC_LF","A","2016",8.025,
"SVN","HUR","TOT","PC_LF","A","2017",6.6,
"SVN","HUR","TOT","PC_LF","A","2018",5.158333,
"SVN","HUR","TOT","PC_LF","A","2019",4.466667,
"SVN","HUR","TOT","PC_LF","A","2020",5,
"OECD","HUR","TOT","PC_LF","A","2010",8.521715,"E"
"OECD","HUR","TOT","PC_LF","A","2011",8.112059,"E"
"OECD","HUR","TOT","PC_LF","A","2012",8.095731,"E"
"OECD","HUR","TOT","PC_LF","A","2013",8.004413,"E"
"OECD","HUR","TOT","PC_LF","A","2014",7.451231,"E"
"OECD","HUR","TOT","PC_LF","A","2015",6.882917,"E"
"OECD","HUR","TOT","PC_LF","A","2016",6.465595,"E"
"OECD","HUR","TOT","PC_LF","A","2017",5.936747,"E"
"OECD","HUR","TOT","PC_LF","A","2018",5.503367,"E"
"OECD","HUR","TOT","PC_LF","A","2019",5.417114,"E"
"OECD","HUR","TOT","PC_LF","A","2020",7.164934,"E"
"G-7","HUR","TOT","PC_LF","A","2010",8.167704,"E"
"G-7","HUR","TOT","PC_LF","A","2011",7.651028,"E"
"G-7","HUR","TOT","PC_LF","A","2012",7.383275,"E"
"G-7","HUR","TOT","PC_LF","A","2013",7.113827,"E"
"G-7","HUR","TOT","PC_LF","A","2014",6.397559,"E"
"G-7","HUR","TOT","PC_LF","A","2015",5.818655,"E"
"G-7","HUR","TOT","PC_LF","A","2016",5.465725,"E"
"G-7","HUR","TOT","PC_LF","A","2017",4.991781,"E"
"G-7","HUR","TOT","PC_LF","A","2018",4.556407,"E"
"G-7","HUR","TOT","PC_LF","A","2019",4.288278,"E"
"G-7","HUR","TOT","PC_LF","A","2020",6.507003,"E"
"EA19","HUR","TOT","PC_LF","A","2010",10.24167,
"EA19","HUR","TOT","PC_LF","A","2011",10.25833,
"EA19","HUR","TOT","PC_LF","A","2012",11.45,
"EA19","HUR","TOT","PC_LF","A","2013",12.075,
"EA19","HUR","TOT","PC_LF","A","2014",11.65833,
"EA19","HUR","TOT","PC_LF","A","2015",10.9,
"EA19","HUR","TOT","PC_LF","A","2016",10.04167,
"EA19","HUR","TOT","PC_LF","A","2017",9.083333,
"EA19","HUR","TOT","PC_LF","A","2018",8.2,
"EA19","HUR","TOT","PC_LF","A","2019",7.566667,
"EA19","HUR","TOT","PC_LF","A","2020",7.95,
"LVA","HUR","TOT","PC_LF","A","2010",19.475,
"LVA","HUR","TOT","PC_LF","A","2011",16.21667,
"LVA","HUR","TOT","PC_LF","A","2012",15.04167,
"LVA","HUR","TOT","PC_LF","A","2013",11.875,
"LVA","HUR","TOT","PC_LF","A","2014",10.85,
"LVA","HUR","TOT","PC_LF","A","2015",9.883333,
"LVA","HUR","TOT","PC_LF","A","2016",9.633333,
"LVA","HUR","TOT","PC_LF","A","2017",8.708333,
"LVA","HUR","TOT","PC_LF","A","2018",7.4,
"LVA","HUR","TOT","PC_LF","A","2019",6.308333,
"LVA","HUR","TOT","PC_LF","A","2020",8.108334,
"LTU","HUR","TOT","PC_LF","A","2010",17.84167,
"LTU","HUR","TOT","PC_LF","A","2011",15.39167,
"LTU","HUR","TOT","PC_LF","A","2012",13.40833,
"LTU","HUR","TOT","PC_LF","A","2013",11.8,
"LTU","HUR","TOT","PC_LF","A","2014",10.725,
"LTU","HUR","TOT","PC_LF","A","2015",9.133333,
"LTU","HUR","TOT","PC_LF","A","2016",7.9,
"LTU","HUR","TOT","PC_LF","A","2017",7.116667,
"LTU","HUR","TOT","PC_LF","A","2018",6.183333,
"LTU","HUR","TOT","PC_LF","A","2019",6.283333,
"LTU","HUR","TOT","PC_LF","A","2020",8.516666,
"COL","HUR","TOT","PC_LF","A","2010",11.84167,
"COL","HUR","TOT","PC_LF","A","2011",10.895,
"COL","HUR","TOT","PC_LF","A","2012",10.43417,
"COL","HUR","TOT","PC_LF","A","2013",9.705833,
"COL","HUR","TOT","PC_LF","A","2014",9.166667,
"COL","HUR","TOT","PC_LF","A","2015",8.960834,
"COL","HUR","TOT","PC_LF","A","2016",9.274167,
"COL","HUR","TOT","PC_LF","A","2017",9.425834,
"COL","HUR","TOT","PC_LF","A","2018",9.719167,
"COL","HUR","TOT","PC_LF","A","2019",10.545,
"COL","HUR","TOT","PC_LF","A","2020",16.13417,
"EU27_2020","HUR","TOT","PC_LF","A","2010",9.925,
"EU27_2020","HUR","TOT","PC_LF","A","2011",9.933333,
"EU27_2020","HUR","TOT","PC_LF","A","2012",10.93333,
"EU27_2020","HUR","TOT","PC_LF","A","2013",11.44167,
"EU27_2020","HUR","TOT","PC_LF","A","2014",10.9,
"EU27_2020","HUR","TOT","PC_LF","A","2015",10.06667,
"EU27_2020","HUR","TOT","PC_LF","A","2016",9.15,
"EU27_2020","HUR","TOT","PC_LF","A","2017",8.158334,
"EU27_2020","HUR","TOT","PC_LF","A","2018",7.283333,
"EU27_2020","HUR","TOT","PC_LF","A","2019",6.716667,
"EU27_2020","HUR","TOT","PC_LF","A","2020",7.15,
"CRI","HUR","TOT","PC_LF","A","2011",10.2283,
"CRI","HUR","TOT","PC_LF","A","2012",10.14184,
"CRI","HUR","TOT","PC_LF","A","2013",9.499059,
"CRI","HUR","TOT","PC_LF","A","2014",9.579739,
"CRI","HUR","TOT","PC_LF","A","2015",9.606182,
"CRI","HUR","TOT","PC_LF","A","2016",9.472075,
"CRI","HUR","TOT","PC_LF","A","2017",9.174437,
"CRI","HUR","TOT","PC_LF","A","2018",10.17895,
"CRI","HUR","TOT","PC_LF","A","2019",11.7715,
"CRI","HUR","TOT","PC_LF","A","2020",19.68985,
